Square Footage,Number of Occupants,Appliances Used,Average Temperature,Energy Consumption,Building Type_Industrial,Building Type_Residential,Day of Week_Weekend,Energy Status (Class)
7991,13,18,21.04,2284.33,False,True,True,0
29041,10,10,21.71,3193.51,False,True,False,0
21170,89,8,27.28,4522.1,True,False,False,1
32098,4,13,27.18,4269.02,True,False,True,1
23911,93,48,31.37,4978.71,False,False,False,2
17529,43,44,19.34,3639.76,False,True,False,1
8507,36,28,19.36,3798.54,True,False,False,1
36159,79,30,34.31,5076.4,False,False,False,2
9002,99,41,19.66,4211.82,False,False,False,1
40415,8,48,12.44,4548.56,False,True,False,1
13761,3,28,31.36,3171.27,False,False,False,0
14007,91,34,17.79,3701.39,False,True,True,1
1468,21,10,33.58,2365.5,False,False,False,0
13308,16,41,27.82,4056.28,True,False,False,1
46148,30,39,33.84,5718.21,True,False,True,2
30469,55,26,28.11,5002.91,True,False,False,2
9442,25,31,15.3,3815.61,True,False,False,1
28571,25,21,26.8,3964.54,False,False,True,1
26672,8,1,19.76,3384.78,False,False,False,1
25291,83,17,17.14,4348.86,False,False,True,1
22616,31,47,17.91,4841.23,True,False,False,1
33726,70,34,10.13,5565.67,True,False,False,2
2896,51,27,11.96,2684.98,False,True,False,0
27876,52,26,10.39,4881.83,True,False,True,1
43374,64,15,11.73,5600.03,True,False,False,2
32487,95,49,16.69,5020.9,False,True,False,2
44085,10,30,10.68,4900.84,False,False,False,1
13721,8,10,20.28,2864.63,False,False,True,0
36559,73,28,14.86,5543.64,True,False,True,2
21453,58,6,19.1,4227.17,True,False,False,1
49810,65,33,24.63,5227.37,False,True,False,2
27245,90,44,33.51,5474.72,True,False,True,2
7283,88,44,19.54,4576.47,True,False,False,1
47827,44,23,30.84,5637.13,True,False,True,2
16922,57,19,20.07,4195.75,True,False,True,1
29206,41,31,24.01,3920.23,False,True,False,1
6616,1,21,17.83,2721.67,False,False,False,0
22010,83,21,21.77,3741.64,False,True,True,1
3593,88,41,22.27,3768.3,False,False,True,1
15874,89,14,28.98,4318.82,True,False,True,1
10416,33,14,23.74,2512.1,False,True,True,0
9205,93,49,16.33,4288.58,False,False,True,1
29902,15,34,16.79,4741.16,True,False,True,1
7714,51,7,13.32,3019.12,False,False,False,0
24854,60,27,34.51,4710.15,True,False,True,1
29269,35,19,18.63,4600.3,True,False,True,1
45055,82,22,17.47,5925.39,True,False,True,2
17843,15,1,33.38,2445.25,False,True,False,0
15817,85,47,25.14,3955.17,False,True,True,1
34768,63,47,33.23,4692.24,False,True,False,1
8625,70,46,22.83,3437.1,False,True,True,1
5609,81,2,33.21,2514.4,False,True,False,0
35942,87,11,30.09,4736.66,False,False,True,1
45047,13,45,16.46,5750.07,True,False,False,2
20316,42,24,16.95,4331.04,True,False,True,1
34497,34,35,18.11,4674.31,False,False,True,1
15858,30,2,29.99,2482.94,False,True,True,0
4262,4,38,31.41,2406.04,False,True,False,0
9146,42,44,30.72,4103.69,True,False,True,1
16077,58,19,16.61,4230.79,True,False,False,1
24660,32,5,23.67,4034.64,True,False,True,1
48338,2,18,20.62,4693.8,False,False,True,1
24577,86,24,24.53,4446.22,False,False,True,1
11803,32,1,27.57,2342.32,False,True,False,0
16146,22,30,25.81,3498.27,False,False,True,1
11671,63,8,34.74,3699.87,True,False,True,1
17775,90,1,21.06,3253.47,False,True,False,0
23411,98,23,20.5,4558.07,False,False,False,1
43380,31,33,34.69,5465.54,True,False,True,2
27088,43,34,20.96,3859.59,False,True,True,1
34433,58,48,29.34,5164.94,False,False,False,2
12798,80,4,11.3,3513.41,False,False,False,1
15843,36,37,22.53,3279.51,False,True,True,0
9946,35,40,16.32,3565.7,False,False,True,1
22542,58,47,32.58,3984.2,False,True,True,1
15096,16,11,10.88,2580.42,False,True,True,0
40911,97,46,28.14,5794.83,False,False,True,2
44981,81,20,27.82,5369.95,False,False,False,2
33897,55,30,32.48,4232.44,False,True,False,1
35935,55,37,23.7,5018.25,False,False,False,2
1314,51,46,29.12,3850.11,True,False,True,1
8283,34,30,19.68,2755.75,False,True,True,0
2613,11,2,29.34,1683.95,False,True,False,0
10957,86,49,22.06,4277.54,False,False,True,1
35301,28,45,15.43,5367.9,True,False,True,2
23765,12,3,33.13,2752.62,False,True,False,0
32085,38,31,16.0,5074.24,True,False,False,2
4238,22,20,25.08,3256.52,True,False,False,0
49090,70,17,20.78,5390.61,False,False,True,2
7237,62,34,19.48,4114.45,True,False,False,1
16376,7,7,27.65,3390.53,True,False,True,1
45920,54,34,34.66,5842.72,True,False,True,2
34242,32,16,20.35,3750.37,False,True,True,1
7065,4,14,30.62,2020.15,False,True,True,0
47328,12,3,32.59,3883.46,False,True,True,1
3880,45,3,24.75,2130.26,False,True,False,0
3868,75,24,33.81,3804.34,True,False,False,1
626,2,33,23.52,3093.71,True,False,True,0
23551,93,37,26.83,4263.39,False,True,False,1
605,16,36,16.95,2875.48,False,False,False,0
12164,82,41,23.04,4683.0,True,False,False,1
35698,91,29,32.83,5660.75,True,False,False,2
43694,45,46,20.91,4950.15,False,True,True,2
21109,15,33,13.98,3845.57,False,False,False,1
35867,76,12,10.29,5241.91,True,False,True,2
10861,14,36,18.67,3809.69,True,False,True,1
18271,23,28,23.38,4136.67,True,False,False,1
18174,68,14,21.53,4261.05,True,False,True,1
47557,98,30,24.87,6383.5,True,False,False,2
26010,7,36,31.06,3435.21,False,True,True,1
5799,37,23,34.76,3446.15,True,False,True,1
26111,26,49,15.85,4516.31,False,False,False,1
22276,71,22,11.22,3757.72,False,True,False,1
49374,13,28,29.4,4561.71,False,True,False,1
37930,36,19,25.7,5008.0,True,False,True,2
8573,86,19,27.88,3529.25,False,False,True,1
1507,58,17,17.56,3407.54,True,False,True,1
23736,47,12,17.29,4360.36,True,False,False,1
11316,60,47,29.42,3958.7,False,False,True,1
24252,36,45,22.91,4908.05,True,False,False,1
7424,25,47,14.83,3537.04,False,False,False,1
19074,82,39,17.25,5017.45,True,False,False,2
11116,64,17,30.65,3932.56,True,False,False,1
41306,46,41,19.34,5798.61,True,False,False,2
2242,9,37,11.08,3386.72,True,False,True,1
34520,96,27,29.12,5080.4,False,False,True,2
2943,13,29,17.8,2318.15,False,True,False,0
45123,5,47,13.18,4730.23,False,True,False,1
34657,21,47,20.15,5332.1,True,False,False,2
42255,78,47,27.14,5247.04,False,True,False,2
12701,64,45,13.45,4157.81,False,False,False,1
46507,41,30,22.6,5772.35,True,False,False,2
6650,87,33,19.31,4265.97,True,False,True,1
29421,16,21,34.73,3927.4,False,False,False,1
47563,41,8,18.18,4357.27,False,True,True,1
33782,71,40,29.61,5051.07,False,False,True,2
42474,62,45,18.51,5101.13,False,True,False,2
27416,25,37,15.11,4785.27,True,False,True,1
22091,44,30,11.25,4588.3,True,False,True,1
27920,28,1,20.84,4141.78,True,False,False,1
2969,92,32,25.47,3631.08,False,False,False,1
43506,12,34,11.1,4969.79,False,False,False,2
23361,26,26,29.05,4302.81,True,False,True,1
28452,10,43,26.04,4252.4,False,False,True,1
47914,47,12,33.71,5437.17,True,False,True,2
1226,58,3,22.79,2137.35,False,True,False,0
9166,15,3,11.8,3109.29,True,False,True,0
9283,41,40,12.19,3663.21,False,False,False,1
7140,65,11,13.97,3707.17,True,False,False,1
36721,66,46,15.58,5338.17,False,False,True,2
22092,4,1,12.19,3103.65,False,False,True,0
22026,70,12,21.58,3933.39,False,False,True,1
17161,46,27,17.59,3820.1,False,False,False,1
16741,19,27,23.89,3947.61,True,False,True,1
24150,46,21,28.41,3945.47,False,False,True,1
35388,13,49,15.09,5353.94,True,False,False,2
6599,27,28,12.39,3097.98,False,False,True,0
36322,8,25,27.52,4258.49,False,False,True,1
7319,21,37,31.57,3708.08,True,False,False,1
38501,84,3,32.04,5214.85,True,False,False,2
41589,50,34,33.2,4643.44,False,True,False,1
45850,49,44,24.36,5590.7,False,False,False,2
23390,50,23,23.8,3510.52,False,True,True,1
18273,37,38,33.06,3928.35,False,False,False,1
26885,94,23,16.63,4161.08,False,True,True,1
33839,64,11,27.67,4963.62,True,False,False,2
42373,18,38,27.13,5422.98,True,False,True,2
47682,20,37,26.45,5691.84,True,False,True,2
48820,51,35,30.75,6047.23,True,False,False,2
32732,60,19,31.74,5007.9,True,False,False,2
49969,32,14,26.06,4468.13,False,True,True,1
37009,79,18,20.41,4448.42,False,True,False,1
33056,3,11,32.92,3238.18,False,True,True,0
3483,79,5,10.37,3012.32,False,False,True,0
13357,83,31,10.63,4114.7,False,False,False,1
25326,33,41,21.22,4310.2,False,False,True,1
47178,27,16,24.14,4828.19,False,False,True,1
31695,99,35,28.5,5132.23,False,False,True,2
32321,58,45,32.79,5432.11,True,False,True,2
4994,79,38,29.59,3701.73,False,False,False,1
32390,37,7,25.09,4504.03,True,False,True,1
31178,68,8,32.25,4787.64,True,False,False,1
39563,16,38,28.7,4304.63,False,True,False,1
11041,68,41,20.88,3947.63,False,False,True,1
22859,24,22,32.87,3208.61,False,True,False,0
41309,55,45,15.4,4988.44,False,True,False,2
18655,13,11,23.22,2716.66,False,True,False,0
9212,77,37,25.66,3392.31,False,True,False,1
21195,18,21,16.16,3078.96,False,True,True,0
35332,23,29,25.76,4997.78,True,False,False,2
38641,9,3,19.52,3484.46,False,True,True,1
25074,41,18,26.37,3891.86,False,False,True,1
9077,26,12,18.34,2862.17,False,False,True,0
12222,80,35,20.16,3510.28,False,True,True,1
15849,37,15,18.92,3867.85,True,False,True,1
19629,21,39,12.37,3459.59,False,True,False,1
48424,49,28,11.94,5961.49,True,False,False,2
12682,62,32,34.54,4271.39,True,False,False,1
26431,91,14,25.79,3932.59,False,True,False,1
6126,49,13,18.44,3514.09,True,False,False,1
27411,41,13,13.43,4023.41,False,False,False,1
20475,79,28,13.9,4354.25,False,False,False,1
37708,91,23,29.54,5607.7,True,False,True,2
46786,17,49,29.5,4891.8,False,True,False,1
29787,77,38,30.67,5416.01,True,False,False,2
42286,50,35,11.13,4808.64,False,True,False,1
38404,21,30,24.39,4608.27,False,False,True,1
36272,93,6,32.04,4253.4,False,True,False,1
36296,35,40,32.11,4854.25,False,False,False,1
27458,99,6,23.09,4367.45,False,False,True,1
13484,42,23,25.92,2924.6,False,True,True,0
14129,50,29,18.54,4193.77,True,False,True,1
11206,72,24,14.25,3689.04,False,False,True,1
47266,14,39,14.13,5212.64,False,False,True,2
18278,7,44,32.44,3701.68,False,False,True,1
45641,41,21,15.87,5082.68,False,False,False,2
5471,24,34,28.34,3601.86,True,False,False,1
24942,35,38,20.76,4753.3,True,False,True,1
8064,90,12,20.83,2989.05,False,True,False,0
37480,45,20,20.29,4172.54,False,True,False,1
18797,94,25,20.37,4278.0,False,False,True,1
24589,48,7,33.17,3683.59,False,False,True,1
15782,39,18,16.16,3508.32,False,False,False,1
46243,58,3,12.25,4390.91,False,True,True,1
27806,28,21,25.4,3513.31,False,True,False,1
22973,75,45,17.0,4213.66,False,True,True,1
7811,57,39,21.27,4184.21,True,False,False,1
9630,25,11,27.42,2864.42,False,False,False,0
45465,3,25,10.42,4251.16,False,True,True,1
21107,70,3,24.76,3241.57,False,True,False,0
36987,22,26,15.34,4562.64,False,False,False,1
22919,55,15,29.27,4349.61,True,False,True,1
35384,21,30,18.62,4036.12,False,True,False,1
32389,91,31,21.16,4543.67,False,True,True,1
43582,92,4,18.9,4584.62,False,True,True,1
2122,68,36,31.82,3897.02,True,False,False,1
14169,52,5,18.39,3736.5,True,False,True,1
22374,14,37,22.23,3437.53,False,True,False,1
2490,91,8,25.03,2619.36,False,True,False,0
47554,72,8,25.75,5628.95,True,False,True,2
24374,89,31,33.73,4560.05,False,False,True,1
11331,47,43,21.1,3791.04,False,False,True,1
2060,69,41,12.68,4099.62,True,False,False,1
47537,34,17,16.6,5023.85,False,False,False,2
29577,82,28,13.04,4343.66,False,True,False,1
39999,24,16,17.95,4520.19,False,False,False,1
22066,98,40,25.77,4804.46,False,False,False,1
22451,93,30,20.4,5100.56,True,False,False,2
35136,87,42,30.03,5866.63,True,False,False,2
39065,75,24,10.17,4682.41,False,True,False,1
46393,19,43,15.6,5341.65,False,False,False,2
42449,48,20,14.3,4930.94,False,False,True,2
19046,46,29,28.51,4399.73,True,False,False,1
34219,92,49,27.39,5473.98,False,False,True,2
48780,1,16,10.14,4218.29,False,True,True,1
1026,90,49,11.14,3375.62,False,True,True,1
21952,22,34,25.98,3867.72,False,False,True,1
25451,60,9,28.7,3909.07,False,False,True,1
44379,15,28,15.33,4852.28,False,False,True,1
40863,47,1,17.61,4945.09,True,False,True,2
21889,44,18,18.87,3350.09,False,True,False,1
49648,49,12,30.18,5061.5,False,False,True,2
26643,49,12,25.27,3985.8,False,False,False,1
8473,9,22,12.1,2443.16,False,True,False,0
32588,75,10,13.13,5013.75,True,False,True,2
27089,69,25,29.33,4947.78,True,False,False,2
34036,35,43,16.24,4330.61,False,True,True,1
17834,66,19,23.56,4363.89,True,False,False,1
35060,39,45,26.93,4408.36,False,True,True,1
3842,45,12,34.26,2260.82,False,True,False,0
25078,95,9,24.24,3762.71,False,True,True,1
2425,70,8,34.79,2807.29,False,False,True,0
3930,1,28,30.59,2613.53,False,False,True,0
31086,52,32,13.34,4197.59,False,True,False,1
31610,15,36,14.78,3926.61,False,True,False,1
45141,36,46,31.53,4879.42,False,True,True,1
16085,95,45,23.87,5034.91,True,False,True,2
43034,23,12,14.2,4550.69,False,False,True,1
49189,51,22,24.03,4839.29,False,True,False,1
13850,45,26,20.98,3557.61,False,False,True,1
13095,76,41,29.41,4637.71,True,False,False,1
22020,43,4,28.28,3519.59,False,False,False,1
14237,45,28,28.96,3127.07,False,True,False,0
7583,16,9,30.84,2564.94,False,False,True,0
12503,59,3,12.89,3710.69,True,False,True,1
27924,85,7,17.39,3799.24,False,True,True,1
13151,58,19,26.56,3534.74,False,False,False,1
2250,11,4,22.11,2241.96,False,False,False,0
3217,11,8,23.83,2811.68,True,False,True,0
27227,89,23,15.01,4686.28,False,False,False,1
30356,25,30,27.82,3728.69,False,True,True,1
21695,53,29,11.12,4189.13,False,False,False,1
4256,44,9,21.22,2276.7,False,True,False,0
25057,21,29,24.97,3417.99,False,True,True,1
625,9,18,19.56,2433.47,False,False,False,0
28356,32,2,15.25,3201.55,False,True,True,0
14788,38,9,22.75,2735.63,False,True,False,0
45686,12,46,22.81,5260.26,False,False,False,2
42252,19,33,11.34,4905.91,False,False,True,1
42824,90,34,27.26,6084.9,True,False,True,2
32075,8,38,18.84,4849.54,True,False,True,1
47819,81,5,24.47,5228.59,False,False,False,2
14260,74,8,27.33,4026.33,True,False,False,1
36944,57,18,29.65,5178.97,True,False,False,2
15729,36,17,20.37,3384.58,False,False,True,1
12754,89,48,30.51,3885.13,False,True,False,1
39610,91,40,27.6,5102.49,False,True,False,2
39059,57,47,28.74,5319.27,False,False,True,2
21081,20,42,25.28,3967.63,False,False,True,1
17274,97,46,15.79,4724.76,False,False,False,1
11289,25,8,26.63,2841.31,False,False,True,0
35557,99,27,31.43,4650.7,False,True,True,1
35900,49,19,31.45,4507.73,False,False,True,1
2856,12,19,27.05,3057.53,True,False,False,0
48023,42,46,17.82,5152.04,False,True,True,2
4732,52,39,28.23,3395.45,False,False,True,1
34095,29,21,29.94,3765.06,False,True,True,1
10725,28,22,28.11,2665.72,False,True,False,0
25057,86,32,30.61,4649.81,False,False,False,1
5290,61,11,33.75,2475.76,False,True,False,0
2480,30,9,24.72,3030.38,True,False,False,0
19596,23,35,19.8,4310.82,True,False,True,1
2921,50,5,10.33,2744.38,False,False,False,0
29125,57,7,16.94,3631.54,False,True,False,1
20076,33,42,34.22,4002.72,False,False,True,1
2836,46,46,13.74,3953.1,True,False,True,1
10484,81,48,13.6,3776.21,False,True,False,1
24570,17,11,11.75,3609.75,False,False,False,1
4633,98,2,15.1,2726.13,False,True,False,0
47304,98,11,12.3,6053.68,True,False,False,2
36562,99,11,30.78,4884.18,False,False,True,1
19350,38,13,28.33,3965.87,True,False,True,1
1739,61,26,30.51,2614.4,False,True,False,0
32390,84,15,27.44,4172.29,False,True,False,1
45504,24,32,24.99,5580.25,True,False,False,2
48790,58,38,28.79,5185.54,False,True,False,2
37834,12,10,32.88,3547.29,False,True,True,1
23650,82,29,20.36,4030.72,False,True,False,1
46058,88,33,11.53,5335.23,False,True,False,2
9211,33,28,10.16,3299.75,False,False,True,1
21672,7,34,28.05,4243.36,True,False,False,1
39943,74,5,31.83,5228.01,True,False,False,2
1456,74,38,15.66,3494.52,False,False,True,1
20559,21,8,26.77,3314.12,False,False,False,1
42960,78,33,19.33,5041.34,False,True,False,2
42063,77,9,17.72,4464.55,False,True,True,1
49488,99,41,17.6,5746.4,False,True,False,2
41657,76,38,32.07,5492.51,False,False,False,2
2024,25,4,28.84,1787.0,False,True,True,0
10268,35,20,33.18,3647.48,True,False,False,1
11224,25,49,15.38,4214.3,True,False,True,1
40192,23,23,30.0,4549.59,False,False,True,1
25791,84,45,14.96,5454.74,True,False,True,2
22292,25,43,24.55,3601.83,False,True,True,1
1114,14,40,12.59,3432.74,True,False,True,1
42707,4,44,16.78,5471.43,True,False,True,2
23540,80,10,15.5,4149.49,False,False,False,1
16938,36,13,15.51,3439.34,False,False,False,1
17934,70,44,27.56,3888.89,False,True,False,1
37719,16,20,23.97,4876.08,True,False,False,1
4533,20,46,12.33,3835.0,True,False,False,1
34061,43,14,31.26,4306.74,False,False,False,1
47555,34,29,24.16,4726.97,False,True,False,1
34572,14,1,12.8,3324.61,False,True,True,1
29552,42,38,25.04,4082.39,False,True,False,1
9874,5,19,20.65,2870.44,False,False,False,0
19597,89,6,23.69,4371.38,True,False,True,1
44665,36,2,13.93,4563.58,False,False,True,1
18811,19,25,14.33,3108.88,False,True,False,0
5795,17,42,33.72,2631.16,False,True,True,0
29035,5,34,19.77,4132.91,False,False,False,1
29365,18,24,12.93,4063.62,False,False,True,1
2606,30,2,29.63,2372.16,False,False,False,0
1322,81,2,15.38,2839.18,False,False,True,0
20644,29,7,21.54,2904.51,False,True,False,0
38506,82,26,17.62,5177.22,False,False,True,2
18524,78,4,33.5,3168.71,False,True,False,0
35122,56,41,34.55,5513.36,True,False,False,2
20549,68,4,24.59,4164.5,True,False,True,1
21439,24,42,15.79,4073.01,False,False,True,1
38073,87,22,34.18,5542.74,True,False,True,2
27205,44,14,11.38,4023.35,False,False,True,1
33475,82,13,32.62,4090.65,False,True,True,1
10347,94,8,17.91,3027.78,False,True,True,0
10896,71,17,16.99,3509.87,False,False,True,1
32909,47,29,33.37,5028.58,True,False,True,2
36340,42,15,31.27,3880.66,False,True,True,1
30129,29,33,23.73,3837.78,False,True,True,1
16869,10,13,20.89,3598.99,True,False,True,1
20603,98,36,29.52,4082.56,False,True,True,1
34580,47,13,25.41,4831.96,True,False,True,1
30527,70,20,11.89,4616.89,False,False,False,1
22236,65,5,34.67,3688.46,False,False,True,1
9282,17,6,29.31,3157.54,True,False,False,0
4297,7,32,15.67,3396.51,True,False,False,1
49345,22,18,11.87,4537.9,False,True,False,1
28645,32,43,12.86,5097.96,True,False,False,2
46148,5,20,29.6,4659.4,False,False,False,1
29757,3,6,11.91,3578.29,False,False,True,1
32765,26,9,10.52,4075.67,False,False,False,1
24558,80,8,24.3,4566.41,True,False,True,1
12842,60,39,25.63,3893.95,False,False,True,1
40464,89,17,34.04,5633.01,True,False,False,2
43820,3,36,22.96,4376.22,False,True,False,1
1025,28,48,24.41,3719.19,True,False,False,1
33357,92,43,23.58,5329.97,False,False,True,2
24357,6,29,21.36,3751.05,False,False,True,1
